код_курс,код_модуль
курс_1,модуль_1
курс_1,модуль_2
курс_1,модуль_3
курс_1,модуль_4
курс_1,модуль_5
курс_1,модуль_6
курс_1,модуль_7
курс_1,модуль_8
курс_1,модуль_9
курс_1,модуль_10
курс_2,модуль_1
курс_2,модуль_2
курс_2,модуль_3
курс_2,модуль_4
курс_2,модуль_5
курс_2,модуль_6
курс_2,модуль_7
курс_2,модуль_8
курс_2,модуль_9
курс_2,модуль_10
курс_3,модуль_1
курс_3,модуль_2
курс_3,модуль_3
курс_3,модуль_4
курс_3,модуль_5
курс_3,модуль_6
курс_3,модуль_7
курс_3,модуль_8
курс_3,модуль_9
курс_3,модуль_10
